ID,A,B,C,D,r
0,1,1,1,1,1
1,1,1,1,1,2
2,1,1,1,1,3
3,1,1,1,1,4
4,1,1,1,1,5
5,1,1,1,1,6
6,1,1,1,1,7
7,1,1,1,1,8
8,1,1,1,2,1
9,1,1,1,2,2
10,1,1,1,2,3
11,1,1,1,2,4
12,1,1,1,2,5
13,1,1,1,2,6
14,1,1,1,2,7
15,1,1,1,2,8
16,1,1,1,3,1
17,1,1,1,3,2
18,1,1,1,3,3
19,1,1,1,3,4
20,1,1,1,3,5
21,1,1,1,3,6
22,1,1,1,3,7
23,1,1,1,3,8
24,1,1,1,4,1
25,1,1,1,4,2
26,1,1,1,4,3
27,1,1,1,4,4
28,1,1,1,4,5
29,1,1,1,4,6
30,1,1,1,4,7
31,1,1,1,4,8
32,1,1,1,5,1
33,1,1,1,5,2
34,1,1,1,5,3
35,1,1,1,5,4
36,1,1,1,5,5
37,1,1,1,5,6
38,1,1,1,5,7
39,1,1,1,5,8
40,1,1,1,6,1
41,1,1,1,6,2
42,1,1,1,6,3
43,1,1,1,6,4
44,1,1,1,6,5
45,1,1,1,6,6
46,1,1,1,6,7
47,1,1,1,6,8
48,1,1,2,1,1
49,1,1,2,1,2
50,1,1,2,1,3
51,1,1,2,1,4
52,1,1,2,1,5
53,1,1,2,1,6
54,1,1,2,1,7
55,1,1,2,1,8
56,1,1,2,2,1
57,1,1,2,2,2
58,1,1,2,2,3
59,1,1,2,2,4
60,1,1,2,2,5
61,1,1,2,2,6
62,1,1,2,2,7
63,1,1,2,2,8
64,1,1,2,3,1
65,1,1,2,3,2
66,1,1,2,3,3
67,1,1,2,3,4
68,1,1,2,3,5
69,1,1,2,3,6
70,1,1,2,3,7
71,1,1,2,3,8
72,1,1,2,4,1
73,1,1,2,4,2
74,1,1,2,4,3
75,1,1,2,4,4
76,1,1,2,4,5
77,1,1,2,4,6
78,1,1,2,4,7
79,1,1,2,4,8
80,1,1,2,5,1
81,1,1,2,5,2
82,1,1,2,5,3
83,1,1,2,5,4
84,1,1,2,5,5
85,1,1,2,5,6
86,1,1,2,5,7
87,1,1,2,5,8
88,1,1,2,6,1
89,1,1,2,6,2
90,1,1,2,6,3
91,1,1,2,6,4
92,1,1,2,6,5
93,1,1,2,6,6
94,1,1,2,6,7
95,1,1,2,6,8
96,1,1,3,1,1
97,1,1,3,1,2
98,1,1,3,1,3
99,1,1,3,1,4
100,1,1,3,1,5
101,1,1,3,1,6
102,1,1,3,1,7
103,1,1,3,1,8
104,1,1,3,2,1
105,1,1,3,2,2
106,1,1,3,2,3
107,1,1,3,2,4
108,1,1,3,2,5
109,1,1,3,2,6
110,1,1,3,2,7
111,1,1,3,2,8
112,1,1,3,3,1
113,1,1,3,3,2
114,1,1,3,3,3
115,1,1,3,3,4
116,1,1,3,3,5
117,1,1,3,3,6
118,1,1,3,3,7
119,1,1,3,3,8
120,1,1,3,4,1
121,1,1,3,4,2
122,1,1,3,4,3
123,1,1,3,4,4
124,1,1,3,4,5
125,1,1,3,4,6
126,1,1,3,4,7
127,1,1,3,4,8
128,1,1,3,5,1
129,1,1,3,5,2
130,1,1,3,5,3
131,1,1,3,5,4
132,1,1,3,5,5
133,1,1,3,5,6
134,1,1,3,5,7
135,1,1,3,5,8
136,1,1,3,6,1
137,1,1,3,6,2
138,1,1,3,6,3
139,1,1,3,6,4
140,1,1,3,6,5
141,1,1,3,6,6
142,1,1,3,6,7
143,1,1,3,6,8
144,1,1,4,1,1
145,1,1,4,1,2
146,1,1,4,1,3
147,1,1,4,1,4
148,1,1,4,1,5
149,1,1,4,1,6
150,1,1,4,1,7
151,1,1,4,1,8
152,1,1,4,2,1
153,1,1,4,2,2
154,1,1,4,2,3
155,1,1,4,2,4
156,1,1,4,2,5
157,1,1,4,2,6
158,1,1,4,2,7
159,1,1,4,2,8
160,1,1,4,3,1
161,1,1,4,3,2
162,1,1,4,3,3
163,1,1,4,3,4
164,1,1,4,3,5
165,1,1,4,3,6
166,1,1,4,3,7
167,1,1,4,3,8
168,1,1,4,4,1
169,1,1,4,4,2
170,1,1,4,4,3
171,1,1,4,4,4
172,1,1,4,4,5
173,1,1,4,4,6
174,1,1,4,4,7
175,1,1,4,4,8
176,1,1,4,5,1
177,1,1,4,5,2
178,1,1,4,5,3
179,1,1,4,5,4
180,1,1,4,5,5
181,1,1,4,5,6
182,1,1,4,5,7
183,1,1,4,5,8
184,1,1,4,6,1
185,1,1,4,6,2
186,1,1,4,6,3
187,1,1,4,6,4
188,1,1,4,6,5
189,1,1,4,6,6
190,1,1,4,6,7
191,1,1,4,6,8
192,1,1,5,1,1
193,1,1,5,1,2
194,1,1,5,1,3
195,1,1,5,1,4
196,1,1,5,1,5
197,1,1,5,1,6
198,1,1,5,1,7
199,1,1,5,1,8
200,1,1,5,2,1
201,1,1,5,2,2
202,1,1,5,2,3
203,1,1,5,2,4
204,1,1,5,2,5
